game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
1,1,Pursuers: 1 vs Evaders: 1,1,88,adversary_0,active,"[0.0, 0.0, -0.5875093936920166, 0.40637511014938354, 0.9645283818244934, -0.028636964038014412, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.04451556131243706, 0.0]",,,,"[0.0, 0.0]","[-0.5875093936920166, 0.40637511014938354]",[0.9649534],[-0.0296814],[],[],"[0.0, 0.0]"
1,1,Pursuers: 1 vs Evaders: 1,1,88,agent_0,evader,"[0.0, 0.0, 0.3770189881324768, 0.3777381479740143, -0.9645283818244934, 0.028636964038014412]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[0.3770189881324768, 0.3777381479740143]",[0.9649534],[3.1119113],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,2,88,adversary_0,active,"[0.30000001192092896, -0.013354668393731117, -0.5875093936920166, 0.40637511014938354, 0.9645283818244934, -0.028636964038014412, -0.20000000298023224, 0.0]","[0.0, 0.0, 1.0, 0.04451556131243706, 0.0]",,,,"[0.30000001192092896, -0.013354668393731117]","[-0.5875093936920166, 0.40637511014938354]",[0.9649534],[-0.0296814],[],[],"[-0.20000000298023224, 0.0]"
1,1,Pursuers: 1 vs Evaders: 1,2,88,agent_0,evader,"[-0.20000000298023224, 0.0, 0.3770189881324768, 0.3777381479740143, -0.9645283818244934, 0.028636964038014412]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.20000000298023224, 0.0]","[0.3770189881324768, 0.3777381479740143]",[0.9649534],[3.1119113],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,3,88,adversary_0,active,"[0.5249999761581421, -0.023370670154690742, -0.5575093626976013, 0.40503963828086853, 0.9145283699035645, -0.027301495894789696, -0.3499999940395355, 0.0]","[0.0, 0.0, 1.0, 0.04475968424230814, 0.0]",,,,"[0.5249999761581421, -0.023370670154690742]","[-0.5575093626976013, 0.40503963828086853]",[0.91493577],[-0.029844219],[],[],"[-0.3499999940395355, 0.0]"
1,1,Pursuers: 1 vs Evaders: 1,3,88,agent_0,evader,"[-0.3499999940395355, 0.0, 0.35701900720596313, 0.3777381479740143, -0.9145283699035645, 0.027301495894789696]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.3499999940395355, 0.0]","[0.35701900720596313, 0.3777381479740143]",[0.91493577],[3.1117485],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,4,88,adversary_0,active,"[0.6937500238418579, -0.030955906957387924, -0.5050093531608582, 0.40270256996154785, 0.8270283937454224, -0.024964429438114166, -0.4625000059604645, 0.0]","[0.0, 0.0, 1.0, 0.045257918536663055, 0.0]",,,,"[0.6937500238418579, -0.030955906957387924]","[-0.5050093531608582, 0.40270256996154785]",[0.8274051],[-0.030176526],[],[],"[-0.4625000059604645, 0.0]"
1,1,Pursuers: 1 vs Evaders: 1,4,88,agent_0,evader,"[-0.4625000059604645, 0.0, 0.3220190107822418, 0.3777381479740143, -0.8270283937454224, 0.024964429438114166]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.4625000059604645, 0.0]","[0.3220190107822418, 0.3777381479740143]",[0.8274051],[3.111416],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,5,88,adversary_0,active,"[0.8203125, -0.036794304847717285, -0.4356343746185303, 0.39960697293281555, 0.7114033699035645, -0.021868837997317314, -0.546875, -0.0]","[0.0, 0.0, 1.0, 0.046088830567896366, 0.0]",,,,"[0.8203125, -0.036794304847717285]","[-0.4356343746185303, 0.39960697293281555]",[0.7117394],[-0.030730724],[],[],"[-0.546875, -0.0]"
1,1,Pursuers: 1 vs Evaders: 1,5,88,agent_0,evader,"[-0.546875, -0.0, 0.2757689952850342, 0.3777381479740143, -0.7114033699035645, 0.021868837997317314]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.546875, -0.0]","[0.2757689952850342, 0.3777381479740143]",[0.7117394],[3.110862],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,6,88,adversary_0,active,"[0.915234386920929, -0.04142237827181816, -0.3536031246185303, 0.3959275484085083, 0.5746846199035645, -0.018189407885074615, -0.610156238079071, -0.0]","[0.0, 0.0, 1.0, 0.047452887520194054, 0.0]",,,,"[0.915234386920929, -0.04142237827181816]","[-0.3536031246185303, 0.3959275484085083]",[0.57497245],[-0.031640537],[],[],"[-0.610156238079071, -0.0]"
1,1,Pursuers: 1 vs Evaders: 1,6,88,agent_0,evader,"[-0.610156238079071, -0.0, 0.22108149528503418, 0.3777381479740143, -0.5746846199035645, 0.018189407885074615]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.610156238079071, -0.0]","[0.22108149528503418, 0.3777381479740143]",[0.57497245],[3.1099522],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,7,88,adversary_0,active,"[0.9864257574081421, -0.045302651822566986, -0.2620796859264374, 0.39178532361984253, 0.4221455752849579, -0.0140471700578928, -0.6576172113418579, -0.0]","[0.0, 0.0, 1.0, 0.04988589137792587, 0.0]",,,,"[0.9864257574081421, -0.045302651822566986]","[-0.2620796859264374, 0.39178532361984253]",[0.42237923],[-0.033263393],[],[],"[-0.6576172113418579, -0.0]"
1,1,Pursuers: 1 vs Evaders: 1,7,88,agent_0,evader,"[-0.6576172113418579, -0.0, 0.16006587445735931, 0.3777381479740143, -0.4221455752849579, 0.0140471700578928]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.6576172113418579, -0.0]","[0.16006587445735931, 0.3777381479740143]",[0.42237923],[3.1083293],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,8,88,adversary_0,active,"[0.9988940954208374, -0.04701646417379379, -0.1634371131658554, 0.3872550427913666, 0.2577412724494934, -0.009516905061900616, -0.6932128667831421, -0.0]","[0.0, 0.0, 1.0, 0.055348606780171394, 0.0]",,,,"[0.9988940954208374, -0.04701646417379379]","[-0.1634371131658554, 0.3872550427913666]",[0.2579169],[-0.03690745],[],[],"[-0.6932128667831421, -0.0]"
1,1,Pursuers: 1 vs Evaders: 1,8,88,agent_0,evader,"[-0.6932128667831421, -0.0, 0.0943041518330574, 0.3777381479740143, -0.2577412724494934, 0.009516905061900616]","[0.5, 0.5, 0.0, 0.0, 0.0]",-10.0,False,False,"[-0.6932128667831421, -0.0]","[0.0943041518330574, 0.3777381479740143]",[0.2579169],[3.1046853],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,9,88,adversary_0,active,"[0.9987802505493164, -0.049375828355550766, -0.06354770064353943, 0.3825533986091614, 0.08853057026863098, -0.004815258551388979, -0.71990966796875, -0.0]","[0.0, 0.0, 1.0, 0.08146581798791885, 0.0]",,,,"[0.9987802505493164, -0.049375828355550766]","[-0.06354770064353943, 0.3825533986091614]",[0.088661425],[-0.05433728],[],[],"[-0.71990966796875, -0.0]"
1,1,Pursuers: 1 vs Evaders: 1,9,88,agent_0,evader,"[-0.71990966796875, -0.0, 0.024982865899801254, 0.3777381479740143, -0.08853057026863098, 0.004815258551388979]","[0.5, 0.5, 0.0, 0.0, 0.0]",-10.0,False,False,"[-0.71990966796875, -0.0]","[0.024982865899801254, 0.3777381479740143]",[0.088661425],[3.0872555],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,10,88,adversary_0,active,"[0.686235785484314, -0.04173590615391731, 0.03633032366633415, 0.3776158094406128, -0.0833384245634079, 0.0001223244471475482, -0.37708282470703125, -0.019735710695385933]","[0.0, 1.0, 0.0, 0.0, 0.0022017827723175287]",,,,"[0.686235785484314, -0.04173590615391731]","[0.03633032366633415, 0.3776158094406128]",[0.083338514],[3.1401248],[],[],"[-0.37708282470703125, -0.019735710695385933]"
1,1,Pursuers: 1 vs Evaders: 1,10,88,agent_0,evader,"[-0.37708282470703125, -0.019735710695385933, -0.047008100897073746, 0.3777381479740143, 0.0833384245634079, -0.0001223244471475482]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.37708282470703125, -0.019735710695385933]","[-0.047008100897073746, 0.3777381479740143]",[0.083338514],[-0.0014679717],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,11,88,adversary_0,active,"[0.6312912702560425, -0.0312529020011425, 0.10495389997959137, 0.37344223260879517, -0.18967027962207794, 0.002322344109416008, -0.8994265198707581, -0.014190275222063065]","[0.0, 1.0, 0.0, 0.0, 0.018364674411714077]",,,,"[0.6312912702560425, -0.0312529020011425]","[0.10495389997959137, 0.37344223260879517]",[0.1896845],[3.1293492],[],[],"[-0.8994265198707581, -0.014190275222063065]"
1,1,Pursuers: 1 vs Evaders: 1,11,88,agent_0,evader,"[-0.8994265198707581, -0.014190275222063065, -0.08471638709306717, 0.3757645785808563, 0.18967027962207794, -0.002322344109416008]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.8994265198707581, -0.014190275222063065]","[-0.08471638709306717, 0.3757645785808563]",[0.1896845],[-0.01224351],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,12,88,adversary_0,active,"[0.1734684407711029, -0.017930274829268456, 0.16808302700519562, 0.3703169524669647, -0.34274205565452576, 0.004028606694191694, -0.8745698928833008, -0.010642706416547298]","[0.0, 1.0, 0.0, 0.0, 0.017629800830036402]",,,,"[0.1734684407711029, -0.017930274829268456]","[0.16808302700519562, 0.3703169524669647]",[0.34276572],[3.1298392],[],[],"[-0.8745698928833008, -0.010642706416547298]"
1,1,Pursuers: 1 vs Evaders: 1,12,88,agent_0,evader,"[-0.8745698928833008, -0.010642706416547298, -0.17465904355049133, 0.3743455410003662, 0.34274205565452576, -0.004028606694191694]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.8745698928833008, -0.010642706416547298]","[-0.17465904355049133, 0.3743455410003662]",[0.34276572],[-0.011753541],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,13,88,adversary_0,active,"[-0.16989867389202118, -0.008158765733242035, 0.1854298710823059, 0.3685239255428314, -0.4475458860397339, 0.004757363814860582, -0.8559274077415466, -0.00798202957957983]","[0.0, 1.0, 0.0, 0.0, 0.01594404922798276]",,,,"[-0.16989867389202118, -0.008158765733242035]","[0.1854298710823059, 0.3685239255428314]",[0.4475712],[3.130963],[],[],"[-0.8559274077415466, -0.00798202957957983]"
1,1,Pursuers: 1 vs Evaders: 1,13,88,agent_0,evader,"[-0.8559274077415466, -0.00798202957957983, -0.262116014957428, 0.3732812702655792, 0.4475458860397339, -0.004757363814860582]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.8559274077415466, -0.00798202957957983]","[-0.262116014957428, 0.3732812702655792]",[0.4475712],[-0.010629514],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,14,88,adversary_0,active,"[-0.42742401361465454, -0.0013358598807826638, 0.16843999922275543, 0.3677080273628235, -0.5161488056182861, 0.00477503752335906, -0.8419455885887146, -0.005986521951854229]","[0.0, 1.0, 0.0, 0.0, 0.013876346871256828]",,,,"[-0.42742401361465454, -0.0013358598807826638]","[0.16843999922275543, 0.3677080273628235]",[0.51617086],[3.1323416],[],[],"[-0.8419455885887146, -0.005986521951854229]"
1,1,Pursuers: 1 vs Evaders: 1,14,88,agent_0,evader,"[-0.8419455885887146, -0.005986521951854229, -0.3477087616920471, 0.3724830746650696, 0.5161488056182861, -0.00477503752335906]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.8419455885887146, -0.005986521951854229]","[-0.3477087616920471, 0.3724830746650696]",[0.51617086],[-0.009251036],[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,15,88,adversary_0,active,"[-0.6205679774284363, 0.003161009168252349, 0.12569759786128998, 0.36757445335388184, -0.5576009154319763, 0.0043099713511765, -0.8314591646194458, -0.004489891696721315]","[0.0, 1.0, 0.0, 0.0, 0.011594048934057355]",,,,"[-0.6205679774284363, 0.003161009168252349]","[0.12569759786128998, 0.36757445335388184]",[0.55761755],[3.1338632],[],[],"[-0.8314591646194458, -0.004489891696721315]"
1,1,Pursuers: 1 vs Evaders: 1,15,88,agent_0,evader,"[-0.8314591646194458, -0.004489891696721315, -0.43190333247184753, 0.37188443541526794, 0.5576009154319763, -0.0043099713511765]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.8314591646194458, -0.004489891696721315]","[-0.43190333247184753, 0.37188443541526794]",[0.55761755],[-0.0077293566],[],[],[]
