game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,value_function,interception_point
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_0,201,"[0.0, 0.0, 0.9814674854278564, 0.0732666552066803, -1.0047848224639893, 0.11068212985992432, -0.6133206486701965, -0.0338582918047905, -1.6786917448043823, 0.012324323877692223, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, 0.01101214114024684, 0.0, 0.0]",,,,"[0.0, 0.0]","[0.9814674854278564, 0.0732666552066803]","[1.0108626, 0.61425453, 1.678737]","[3.03188, -3.0864437, 3.134251]",[],[],"[0.0, 0.0, 0.0, 0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_1,201,"[0.0, 0.0, -0.023317303508520126, 0.18394878506660461, 1.0047848224639893, -0.11068212985992432, 0.39146414399147034, -0.1445404291152954, -0.6739069223403931, -0.09835780411958694, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -0.2166322350134416, 0.0, 0.0]",,,,"[0.0, 0.0]","[-0.023317303508520126, 0.18394878506660461]","[1.0108626, 0.4172962, 0.68104684]","[-0.10971273, -0.35370275, -2.9966643]",[],[],"[0.0, 0.0, 0.0, 0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,1,agent_0,201,"[0.0, 0.0, 0.3681468665599823, 0.0394083634018898, 0.6133206486701965, 0.0338582918047905, -0.39146414399147034, 0.1445404291152954, -1.0653711557388306, 0.04618261754512787, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.0, 0.0]","[0.3681468665599823, 0.0394083634018898]","[0.61425453, 0.4172962, 1.0663717]","[0.055148907, 2.78789, 3.098271]",[],[],"[0.0, 0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,1,agent_1,201,"[0.0, 0.0, -0.6972242593765259, 0.08559098094701767, 1.6786917448043823, -0.012324323877692223, 0.6739069223403931, 0.09835780411958694, 1.0653711557388306, -0.04618261754512787, 0.0, 0.0]","[0.0, -1.0, -0.17184789784654264, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[-0.6972242593765259, 0.08559098094701767]","[1.678737, 0.68104684, 1.0663717]","[-0.0073414934, 0.14492832, -0.043321732]",[],[],"[0.0, 0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",[nan nan]
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_0,201,"[0.0033036423847079277, 0.0, 0.9814674854278564, 0.0732666552066803, -1.0047848224639893, 0.11068212985992432, -0.6133206486701965, -0.0338582918047905, -1.6786917448043823, 0.012324323877692223, 0.0, -0.0, -0.0, -0.0]","[0.0, -1.0, 0.01101214114024684, 0.0, 0.0]",,,,"[0.0033036423847079277, 0.0]","[0.9814674854278564, 0.0732666552066803]","[1.0108626, 0.61425453, 1.678737]","[3.03188, -3.0864437, 3.134251]",[],[],"[0.0, -0.0, -0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_1,201,"[-0.0, 0.0, -0.023317303508520126, 0.18394878506660461, 1.0047848224639893, -0.11068212985992432, 0.39146414399147034, -0.1445404291152954, -0.6739069223403931, -0.09835780411958694, 0.0, -0.0, -0.0, -0.0]","[0.0, -1.0, -0.2166322350134416, 0.0, 0.0]",,,,"[-0.0, 0.0]","[-0.023317303508520126, 0.18394878506660461]","[1.0108626, 0.4172962, 0.68104684]","[-0.10971273, -0.35370275, -2.9966643]",[],[],"[0.0, -0.0, -0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,2,agent_0,201,"[0.0, -0.0, 0.3681468665599823, 0.0394083634018898, 0.6133206486701965, 0.0338582918047905, -0.39146414399147034, 0.1445404291152954, -1.0653711557388306, 0.04618261754512787, -0.0, -0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.0, -0.0]","[0.3681468665599823, 0.0394083634018898]","[0.61425453, 0.4172962, 1.0663717]","[0.055148907, 2.78789, 3.098271]",[],[],"[-0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,2,agent_1,201,"[-0.0, -0.0, -0.6972242593765259, 0.08559098094701767, 1.6786917448043823, -0.012324323877692223, 0.6739069223403931, 0.09835780411958694, 1.0653711557388306, -0.04618261754512787, 0.0, -0.0]","[0.0, -1.0, -0.17184789784654264, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[-0.6972242593765259, 0.08559098094701767]","[1.678737, 0.68104684, 1.0663717]","[-0.0073414934, 0.14492832, -0.043321732]",[],[],"[0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",[nan nan]
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_0,201,"[0.00578137394040823, 0.0, 0.9817978739738464, 0.0732666552066803, -1.0051151514053345, 0.11068212985992432, -0.6136509776115417, -0.0338582918047905, -1.6790220737457275, 0.012324323877692223, 0.0, -0.0, -0.0, -0.0]","[0.0, -1.0, 0.011009974349712024, 0.0, 0.0]",,,,"[0.00578137394040823, 0.0]","[0.9817978739738464, 0.0732666552066803]","[1.0111909, 0.6145843, 1.6790673]","[3.0319157, -3.0864735, 3.1342525]",[],[],"[0.0, -0.0, -0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_1,201,"[-0.0, 0.0, -0.023317303508520126, 0.18394878506660461, 1.0051151514053345, -0.11068212985992432, 0.39146414399147034, -0.1445404291152954, -0.6739069223403931, -0.09835780411958694, 0.0, -0.0, -0.0, -0.0]","[0.0, -1.0, -0.2166322350134416, 0.0, 0.0]",,,,"[-0.0, 0.0]","[-0.023317303508520126, 0.18394878506660461]","[1.0111909, 0.4172962, 0.68104684]","[-0.109676965, -0.35370275, -2.9966643]",[],[],"[0.0, -0.0, -0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,3,agent_0,201,"[0.0, -0.0, 0.3681468665599823, 0.0394083634018898, 0.6136509776115417, 0.0338582918047905, -0.39146414399147034, 0.1445404291152954, -1.0653711557388306, 0.04618261754512787, -0.0, -0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.0, -0.0]","[0.3681468665599823, 0.0394083634018898]","[0.6145843, 0.4172962, 1.0663717]","[0.05511928, 2.78789, 3.098271]",[],[],"[-0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",
1,1,Pursuers: 2 vs Evaders: 2,3,agent_1,201,"[-0.0, -0.0, -0.6972242593765259, 0.08559098094701767, 1.6790220737457275, -0.012324323877692223, 0.6739069223403931, 0.09835780411958694, 1.0653711557388306, -0.04618261754512787, 0.0, -0.0]","[0.0, -1.0, -0.17184969928282906, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[-0.6972242593765259, 0.08559098094701767]","[1.6790673, 0.68104684, 1.0663717]","[-0.007340049, 0.14492832, -0.043321732]",[],[],"[0.0, -0.0]","{(0.9814674854278564, 0.0732666552066803, 0.0): 0.0, (-0.023317303508520126, 0.18394878506660461, 0.0): 0.0, (0.3681468665599823, 0.0394083634018898, 0.0): 0.0, (-0.6972242593765259, 0.08559098094701767, 0.0): 0.0}",[nan nan]
