game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,distance_to_evader,distance_to_pursuers,angle_to_evader,angle_to_pursuers,evader_velocity,pursuers_velocities,distances_to_landmarks,angles_to_landmarks,is_evader_captured
1,1,Pursuers: 5 vs Evaders: 1,1,3147,adversary_0,active,"[ 0.          0.         -0.19102657  0.63239235  0.32575715  0.57761866
  1.7243046  -0.15404113  1.3494055   1.1948984   0.8152162   0.18230274
  0.4338669   1.495037    0.          0.        ]","[0.0, 0.0, 1.0, 0.0, 0.0]",,,,"[0.0, 0.0]","[-0.8826867938041687, -0.6986246109008789]","[0.6631448, 1.7311715, 1.8024087, 0.8353512, 1.5567197]",0.0,[1.5567195],"[0.0, 1.0572941, -0.08909873, 0.72474587, 0.22000532]",[1.28835],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,1,3147,adversary_1,non-active,"[ 0.          0.          0.8729419   0.33227903 -0.32575715 -0.57761866
  1.3985474  -0.73165977  1.0236484   0.61727965  0.489459   -0.39531592
  0.10810975  0.9174183   0.          0.        ]","[0.0, 0.0, 0.055546847128181615, 0.0, 1.0]",,,,"[0.0, 0.0]","[-0.5569296479225159, -0.12100597470998764]","[0.6631448, 1.578373, 1.195362, 0.629162, 0.9237662]",0.6631448,[0.92376614],"[-2.0842986, 0.0, -0.4820011, 0.5426366, -0.6793936]",[1.453496],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,1,3147,adversary_2,non-active,"[ 0.          0.          1.1155562   0.622108   -1.7243046   0.15404113
 -1.3985474   0.73165977 -0.374899    1.3489394  -0.9090884   0.33634388
 -1.2904376   1.6490781   0.          0.        ]","[0.0, 1.0, 0.0, 0.32393110891425014, 0.0]",,,,"[0.0, 0.0]","[0.8416177034378052, -0.8526657819747925]","[1.7311715, 1.578373, 1.4000667, 0.9693136, 2.0939646]",1.7311714,[2.0939646],"[3.0524938, 2.6595914, 0.0, 1.8418764, 2.787231]",[2.234788],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[False]
1,1,Pursuers: 5 vs Evaders: 1,1,3147,adversary_3,non-active,"[ 0.          0.         -0.5527525   1.596582   -1.3494055  -1.1948984
 -1.0236484  -0.61727965  0.374899   -1.3489394  -0.53418934 -1.0125955
 -0.9155386   0.30013862  0.          0.        ]","[0.0, 0.0, 1.0, 0.0, 0.0923915203596568]",,,,"[0.0, 0.0]","[0.4667186737060547, 0.4962736666202545]","[1.8024087, 1.195362, 1.4000667, 1.1448616, 0.96348023]",1.8024087,[0.9634802],"[-2.4168468, -2.598956, -1.2997162, 0.0, -2.056236]",[2.8248055],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,1,3147,adversary_4,non-active,"[ 0.          0.          0.31032008  0.9353234  -0.8152162  -0.18230274
 -0.489459    0.39531592  0.9090884  -0.33634388  0.53418934  1.0125955
 -0.38134927  1.3127342   0.          0.        ]","[0.0, 0.06690214166805562, 0.0, 0.0, 1.0]",,,,"[0.0, 0.0]","[-0.06747064739465714, -0.5163218975067139]","[0.8353512, 0.629162, 0.9693136, 1.1448616, 1.3670034]",0.83535117,[1.3670033],"[-2.9215872, 2.462199, -0.3543617, 1.0853566, 0.0]",[1.8535149],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,1,3147,agent_0,evader,"[ 0.          0.         -3.0773473  -0.10237655 -0.4338669  -1.495037
 -0.10810975 -0.9174183   1.2904376  -1.6490781   0.9155386  -0.30013862
  0.38134927 -1.3127342 ]","[0.0, -2.7779448114186778, 0.0, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[-0.4488199055194855, 0.7964122891426086]","[1.5567197, 0.9237662, 2.0939646, 0.96348023, 1.3670034]","[1.5567195, 0.92376614, 2.0939646, 0.9634802, 1.3670033]",[0.0],"[-1.8532426, -1.6880966, -0.9068048, -0.31678706, -1.2880777]",[0.0],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[]
1,1,Pursuers: 5 vs Evaders: 1,2,3147,adversary_0,active,"[ 0.3        -0.         -0.19102657  0.63239235  0.32575715  0.57761866
  1.7243046  -0.15404113  1.3494055   1.1948984   0.8152162   0.18230274
  0.4338669   1.495037    0.          0.        ]","[0.0, 0.0, 1.0, 0.0, 0.0]",,,,"[0.30000001192092896, -0.0]","[-0.8826867938041687, -0.6986246109008789]","[0.6631448, 1.7311715, 1.8024087, 0.8353512, 1.5567197]",0.0,[1.5567195],"[0.0, 1.0572941, -0.08909873, 0.72474587, 0.22000532]",[1.28835],"[array([ 0.3, -0. ], dtype=float32), array([0.01666405, 0.3       ], dtype=float32), array([-0.3       , -0.09717933], dtype=float32), array([0.3       , 0.02771746], dtype=float32), array([-0.02007064,  0.3       ], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,2,3147,adversary_1,non-active,"[ 0.01666405  0.3         0.93856037 -0.00477514 -0.32575715 -0.57761866
  1.3985474  -0.73165977  1.0236484   0.61727965  0.489459   -0.39531592
  0.10810975  0.9174183   0.          0.        ]","[0.0, 1.0, 0.0, 0.0, 0.9466841859722701]",,,,"[0.0166640542447567, 0.30000001192092896]","[-0.5569296479225159, -0.12100597470998764]","[0.6631448, 1.578373, 1.195362, 0.629162, 0.9237662]",0.6631448,[0.92376614],"[-2.0842986, 0.0, -0.4820011, 0.5426366, -0.6793936]",[1.453496],"[array([ 0.3, -0. ], dtype=float32), array([0.01666405, 0.3       ], dtype=float32), array([-0.3       , -0.09717933], dtype=float32), array([0.3       , 0.02771746], dtype=float32), array([-0.02007064,  0.3       ], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 5 vs Evaders: 1,2,3147,adversary_2,non-active,"[-0.3        -0.09717933  1.1155562   0.622108   -1.7243046   0.15404113
 -1.3985474   0.73165977 -0.374899    1.3489394  -0.9090884   0.33634388
 -1.2904376   1.6490781   0.          0.        ]","[0.0, 1.0, 0.0, 0.2181878364306759, 0.0]",,,,"[-0.30000001192092896, -0.09717933088541031]","[0.8416177034378052, -0.8526657819747925]","[1.7311715, 1.578373, 1.4000667, 0.9693136, 2.0939646]",1.7311714,[2.0939646],"[3.0524938, 2.6595914, 0.0, 1.8418764, 2.787231]",[2.234788],"[array([ 0.3, -0. ], dtype=float32), array([0.01666405, 0.3       ], dtype=float32), array([-0.3       , -0.09717933], dtype=float32), array([0.3       , 0.02771746], dtype=float32), array([-0.02007064,  0.3       ], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[False]
1,1,Pursuers: 5 vs Evaders: 1,2,3147,adversary_3,non-active,"[ 0.3         0.02771746 -0.5527525   1.596582   -1.3494055  -1.1948984
 -1.0236484  -0.61727965  0.374899   -1.3489394  -0.53418934 -1.0125955
 -0.9155386   0.30013862  0.          0.        ]","[0.0, 0.0, 1.0, 0.37191981255953394, 0.0]",,,,"[0.30000001192092896, 0.027717456221580505]","[0.4667186737060547, 0.4962736666202545]","[1.8024087, 1.195362, 1.4000667, 1.1448616, 0.96348023]",1.8024087,[0.9634802],"[-2.4168468, -2.598956, -1.2997162, 0.0, -2.056236]",[2.8248055],"[array([ 0.3, -0. ], dtype=float32), array([0.01666405, 0.3       ], dtype=float32), array([-0.3       , -0.09717933], dtype=float32), array([0.3       , 0.02771746], dtype=float32), array([-0.02007064,  0.3       ], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
