game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,angles_to_pursuers,angles_to_evaders,velocities_of_evaders,velocities_of_pursuers,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,distances_to_evaders,distances_to_pursuers,value_function,interception_point,is_evader_capture,radius
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_0,8274,"[ 0.          0.          0.45922932 -0.8528251  -0.8986221   1.6323335
  0.1567069   1.3522756  -1.1741163   1.2071533   0.          0.
  0.          0.        ]","[0.0, 0.1726702327121201, 1.0, 0.0, 0.0]",,,,[0. 0.],[ 0.45922932 -0.8528251 ],"[0.0, 2.074034]","[1.455427, 2.3423216]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.8633395, 1.3613251]","[2.074034, 1.455427]",[0. 0. 0. 0.],"[1.3613251, 1.6839739]","[0.0, 1.8633395]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",1.2629804295476623
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_1,8274,"[ 0.          0.         -0.4393928   0.7795084   0.8986221  -1.6323335
  1.0553291  -0.2800579  -0.27549413 -0.4251803   0.          0.
  0.          0.        ]","[0.0, 1.0, -0.3847452605544297, 0.0, 0.0]",,,,[0. 0.],[-0.4393928  0.7795084],"[-1.0675588, 0.0]","[-0.25939602, -2.1457267]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.8633395, 1.0918571]","[-1.0675588, -0.25939605]",[0. 0. 0. 0.],"[1.0918571, 0.50663126]","[1.8633395, 0.0]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",0.379973456245761
1,1,Pursuers: 2 vs Evaders: 2,1,agent_0,8274,"[ 0.          0.          0.6159362   0.49945053 -0.1567069  -1.3522756
 -1.0553291   0.2800579  -1.3308232  -0.14512238  0.          0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[0.6159362  0.49945053],"[-1.6861656, 2.8821967]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.3613251, 1.0918571]","[-1.6861656, 2.8821967]",[0. 0.],[],"[1.3613251, 1.0918571]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,[],
1,1,Pursuers: 2 vs Evaders: 2,1,agent_1,8274,"[ 0.          0.         -0.7148869   0.35432816  1.1741163  -1.2071533
  0.27549413  0.4251803   1.3308232   0.14512238  0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,False,False,[0. 0.],[-0.7148869   0.35432816],"[-0.799271, 0.995866]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.6839739, 0.5066313]","[-0.799271, 0.995866]",[0. 0.],[],"[1.6839739, 0.50663126]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",[0.28323044 0.46316994],[],
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_0,8274,"[ 0.24819893  0.          0.45922932 -0.8528251  -0.8986221   1.6323335
  0.1567069   1.3522756  -1.1741163   1.2071533   0.          0.
 -0.         -0.        ]","[0.0, 0.1726702327121201, 1.0, 0.0, 0.0]",,,,[0.24819893 0.        ],[ 0.45922932 -0.8528251 ],"[0.0, 2.074034]","[1.455427, 2.3423216]","[array([0., 0.], dtype=float32), array([-0., -0.], dtype=float32)]","[array([0.24819893, 0.        ], dtype=float32), array([-0.3,  0. ], dtype=float32)]","[1.8633395, 1.3613251]","[2.074034, 1.455427]",[ 0.  0. -0. -0.],"[1.3613251, 1.6839739]","[0.0, 1.8633395]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",1.2629804295476623
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_1,8274,"[-0.3         0.         -0.4393928   0.7795084   0.8986221  -1.6323335
  1.0553291  -0.2800579  -0.27549413 -0.4251803   0.          0.
 -0.         -0.        ]","[0.0, 1.0, -0.3847452605544297, 0.0, 0.0]",,,,[-0.3  0. ],[-0.4393928  0.7795084],"[-1.0675588, 0.0]","[-0.25939602, -2.1457267]","[array([0., 0.], dtype=float32), array([-0., -0.], dtype=float32)]","[array([0.24819893, 0.        ], dtype=float32), array([-0.3,  0. ], dtype=float32)]","[1.8633395, 1.0918571]","[-1.0675588, -0.25939605]",[ 0.  0. -0. -0.],"[1.0918571, 0.50663126]","[1.8633395, 0.0]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",0.379973456245761
1,1,Pursuers: 2 vs Evaders: 2,2,agent_0,8274,"[ 0.          0.          0.6159362   0.49945053 -0.1567069  -1.3522756
 -1.0553291   0.2800579  -1.3308232  -0.14512238 -0.         -0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[0.6159362  0.49945053],"[-1.6861656, 2.8821967]",[],[],"[array([0.24819893, 0.        ], dtype=float32), array([-0.3,  0. ], dtype=float32)]","[1.3613251, 1.0918571]","[-1.6861656, 2.8821967]",[-0. -0.],[],"[1.3613251, 1.0918571]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,[],
1,1,Pursuers: 2 vs Evaders: 2,2,agent_1,8274,"[-0.         -0.         -0.7148869   0.35432816  1.1741163  -1.2071533
  0.27549413  0.4251803   1.3308232   0.14512238  0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,False,False,[-0. -0.],[-0.7148869   0.35432816],"[-0.799271, 0.995866]",[],[],"[array([0.24819893, 0.        ], dtype=float32), array([-0.3,  0. ], dtype=float32)]","[1.6839739, 0.5066313]","[-0.799271, 0.995866]",[0. 0.],[],"[1.6839739, 0.50663126]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",[0.28323044 0.46316994],[],
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_0,8274,"[ 0.43434814  0.          0.48404923 -0.8528251  -0.95344204  1.6323335
  0.131887    1.3522756  -1.1989361   1.2071533   0.          0.
 -0.         -0.        ]","[0.0, 0.14560364158160444, 1.0, 0.0, 0.0]",,,,[0.43434814 0.        ],[ 0.48404923 -0.8528251 ],"[0.0, 2.0994408]","[1.4735742, 2.3527794]","[array([0., 0.], dtype=float32), array([-0., -0.], dtype=float32)]","[array([0.43434814, 0.        ], dtype=float32), array([-0.525,  0.   ], dtype=float32)]","[1.8903873, 1.3586918]","[2.0994408, 1.4735742]",[ 0.  0. -0. -0.],"[1.3586918, 1.701372]","[0.0, 1.8903873]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",1.2760290528299982
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_1,8274,"[-0.525       0.         -0.4693928   0.7795084   0.95344204 -1.6323335
  1.085329   -0.2800579  -0.24549411 -0.4251803   0.          0.
 -0.         -0.        ]","[0.0, 1.0, -0.3747831112276716, 0.0, 0.0]",,,,[-0.525  0.   ],[-0.4693928  0.7795084],"[-1.0421519, 0.0]","[-0.2525309, -2.0944235]","[array([0., 0.], dtype=float32), array([-0., -0.], dtype=float32)]","[array([0.43434814, 0.        ], dtype=float32), array([-0.525,  0.   ], dtype=float32)]","[1.8903873, 1.1208799]","[-1.0421519, -0.25253093]",[ 0.  0. -0. -0.],"[1.1208799, 0.49096394]","[1.8903873, 0.0]","{(0.45922932028770447, -0.8528251051902771, 0.0): 0.0, (-0.4393928050994873, 0.7795084118843079, 0.0): 0.0, (0.6159362196922302, 0.49945053458213806, 0.0): 0.0, (-0.7148869037628174, 0.3543281555175781, 0.0): 0.0}",,"[False, False]",0.3682229641022251
