game,round,agent,seed,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
5,1,adversary_0,3508,active,"[0.0, 0.0, -0.3971497714519501, 0.9879783987998962, 1.0372698307037354, -1.1025428771972656, 1.0501102209091187, -0.6227262020111084, -0.009814601391553879, -1.0457755327224731, -0.12781080603599548, -1.5159621238708496, -0.5267966389656067, -0.32959774136543274, 0.4075367748737335, -1.5304514169692993, 0.9901383519172668, -1.443912148475647, -0.537836492061615, -1.4239659309387207, -0.37583935260772705, -0.9927288889884949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.7956055998802185, 0.0]",,,,"[0.0, 0.0]","[-0.3971497714519501, 0.9879783987998962]","[1.5137799, 1.2208683, 1.0458215, 1.5213405, 0.6214092, 1.5837828, 1.7507873, 1.5221521, 1.0614923]","[-0.8158928, -0.5352642, -1.580181, -1.6549075, -2.582516, -1.31055, -0.96970975, -1.9319348, -1.9327126]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,adversary_1,3508,active,"[0.0, 0.0, 0.6401200294494629, -0.11456446349620819, -1.0372698307037354, 1.1025428771972656, 0.012840382754802704, 0.47981664538383484, -1.0470844507217407, 0.05676726624369621, -1.1650805473327637, -0.41341927647590637, -1.5640664100646973, 0.7729451060295105, -0.6297330260276794, -0.42790859937667847, -0.047131460160017014, -0.34136927127838135, -1.5751062631607056, -0.32142308354377747, -1.4131091833114624, 0.10981395840644836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.20515289157629013, 0.0, 1.0, 0.0]",,,,"[0.0, 0.0]","[0.6401200294494629, -0.11456446349620819]","[1.5137799, 0.47998843, 1.0486221, 1.2362558, 1.744634, 0.7613603, 0.34460753, 1.6075672, 1.4173696]","[2.3256998, 1.5440416, 3.0874312, -2.800611, 2.6826043, -2.5447526, -1.7079949, -2.9402921, 3.0640376]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,adversary_2,3508,active,"[0.0, 0.0, 0.6529604196548462, 0.36525216698646545, -1.0501102209091187, 0.6227262020111084, -0.012840382754802704, -0.47981664538383484, -1.0599247217178345, -0.42304936051368713, -1.177920937538147, -0.8932359218597412, -1.5769068002700806, 0.29312846064567566, -0.6425734162330627, -0.9077252149581909, -0.05997184291481972, -0.8211858868598938, -1.5879466533660889, -0.8012397289276123, -1.4259495735168457, -0.3700026869773865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.10925528034567833, 0.0, 1.0, 0.0]",,,,"[0.0, 0.0]","[0.6529604196548462, 0.36525216698646545]","[1.2208683, 0.47998843, 1.1412323, 1.478299, 1.60392, 1.1121446, 0.82337284, 1.7786398, 1.4731715]","[2.6063285, -1.597551, -2.761835, -2.4927907, 2.957802, -2.1868007, -1.6436977, -2.674291, -2.8877134]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,adversary_3,3508,active,"[0.0, 0.0, -0.40696439146995544, -0.05779719725251198, 0.009814601391553879, 1.0457755327224731, 1.0470844507217407, -0.05676726624369621, 1.0599247217178345, 0.42304936051368713, -0.1179962083697319, -0.4701865613460541, -0.5169820189476013, 0.7161778211593628, 0.4173513650894165, -0.48467588424682617, 0.9999529123306274, -0.39813652634620667, -0.5280218720436096, -0.3781903386116028, -0.36602476239204407, 0.05304669216275215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.21514201909303665]",,,,"[0.0, 0.0]","[-0.40696439146995544, -0.05779719725251198]","[1.0458215, 1.0486221, 1.1412323, 0.48476645, 0.8832786, 0.6396037, 1.0762986, 0.6494883, 0.3698487]","[1.5614116, -0.05416158, 0.37975746, -1.8166746, 2.196045, -0.85989696, -0.37891507, -2.5200503, 2.9976683]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,adversary_4,3508,active,"[0.0, 0.0, -0.5249605774879456, -0.5279837250709534, 0.12781080603599548, 1.5159621238708496, 1.1650805473327637, 0.41341927647590637, 1.177920937538147, 0.8932359218597412, 0.1179962083697319, 0.4701865613460541, -0.3989858031272888, 1.1863644123077393, 0.535347580909729, -0.014489322900772095, 1.11794912815094, 0.07205001264810562, -0.4100256562232971, 0.0919962003827095, -0.24802854657173157, 0.5232332348823547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.3283864036202431]",,,,"[0.0, 0.0]","[-0.5249605774879456, -0.5279837250709534]","[1.5213405, 1.2362558, 1.478299, 0.48476645, 1.251659, 0.5355436, 1.1202685, 0.4202194, 0.5790433]","[1.4866852, 0.3409817, 0.6488019, 1.3249179, 1.8952231, -0.027058713, 0.06435937, 2.9208808, 2.0134535]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,agent_0,3508,non-active,"[0.0, 0.0, -0.9239463806152344, 0.6583806276321411, 0.5267966389656067, 0.32959774136543274, 1.5640664100646973, -0.7729451060295105, 1.5769068002700806, -0.29312846064567566, 0.5169820189476013, -0.7161778211593628, 0.3989858031272888, -1.1863644123077393, 0.9343333840370178, -1.200853705406189, 1.5169349908828735, -1.114314317703247, -0.01103984098881483, -1.0943682193756104, 0.15095727145671844, -0.6631311178207397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -0.0004830204466169693, 0.0, 0.0]",,,,"[0.0, 0.0]","[-0.9239463806152344, 0.6583806276321411]","[0.6214092, 1.744634, 1.60392, 0.8832786, 1.251659, 1.5215218, 1.8822296, 1.0944239, 0.6800963]","[0.55907667, -0.45898837, -0.18379049, -0.94554764, -1.2463695, -0.9095788, -0.63356084, -1.5808839, -1.3469675]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,agent_1,3508,non-active,"[0.0, 0.0, 0.010386989451944828, -0.5424730777740479, -0.4075367748737335, 1.5304514169692993, 0.6297330260276794, 0.42790859937667847, 0.6425734162330627, 0.9077252149581909, -0.4173513650894165, 0.48467588424682617, -0.535347580909729, 0.014489322900772095, -0.9343333840370178, 1.200853705406189, 0.5826015472412109, 0.08653933554887772, -0.9453732371330261, 0.1064855232834816, -0.7833760976791382, 0.5377225875854492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -0.124651251592411, 0.0, 0.0]",,,,"[0.0, 0.0]","[0.010386989451944828, -0.5424730777740479]","[1.5837828, 0.7613603, 1.1121446, 0.6396037, 0.5355436, 1.5215218, 0.5889937, 0.9513515, 0.95017034]","[1.8310426, 0.5968401, 0.95479184, 2.2816956, 3.1145341, 2.232014, 0.14746127, 3.0294268, 2.5400412]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,agent_2,3508,non-active,"[0.0, 0.0, 0.5929885506629944, -0.45593371987342834, -0.9901383519172668, 1.443912148475647, 0.047131460160017014, 0.34136927127838135, 0.05997184291481972, 0.8211858868598938, -0.9999529123306274, 0.39813652634620667, -1.11794912815094, -0.07205001264810562, -1.5169349908828735, 1.114314317703247, -0.5826015472412109, -0.08653933554887772, -1.5279748439788818, 0.01994618959724903, -1.3659776449203491, 0.4511832296848297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, 0.034607719062343854, 0.0, 0.0]",,,,"[0.0, 0.0]","[0.5929885506629944, -0.45593371987342834]","[1.7507873, 0.34460753, 0.82337284, 1.0762986, 1.1202685, 1.8822296, 0.5889937, 1.528105, 1.4385623]","[2.1718829, 1.4335977, 1.4978949, 2.7626777, -3.0772333, 2.5080318, -2.9941313, 3.1285393, 2.8225741]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,agent_3,3508,non-active,"[0.0, 0.0, -0.9349862337112427, -0.43598753213882446, 0.537836492061615, 1.4239659309387207, 1.5751062631607056, 0.32142308354377747, 1.5879466533660889, 0.8012397289276123, 0.5280218720436096, 0.3781903386116028, 0.4100256562232971, -0.0919962003827095, 0.01103984098881483, 1.0943682193756104, 0.9453732371330261, -0.1064855232834816, 1.5279748439788818, -0.01994618959724903, 0.16199710965156555, 0.43123704195022583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, 0.034607719062343854, 0.0, 0.0]",,,,"[0.0, 0.0]","[-0.9349862337112427, -0.43598753213882446]","[1.5221521, 1.6075672, 1.7786398, 0.6494883, 0.4202194, 1.0944239, 0.9513515, 1.528105, 0.46066087]","[1.2096578, 0.20130055, 0.4673017, 0.6215423, -0.22071178, 1.5607088, -0.11216586, -0.013053262, 1.2114501]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,agent_4,3508,non-active,"[0.0, 0.0, -0.7729891538619995, -0.004750506021082401, 0.37583935260772705, 0.9927288889884949, 1.4131091833114624, -0.10981395840644836, 1.4259495735168457, 0.3700026869773865, 0.36602476239204407, -0.05304669216275215, 0.24802854657173157, -0.5232332348823547, -0.15095727145671844, 0.6631311178207397, 0.7833760976791382, -0.5377225875854492, 1.3659776449203491, -0.4511832296848297, -0.16199710965156555, -0.43123704195022583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -0.0001930643460635502, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[-0.7729891538619995, -0.004750506021082401]","[1.0614923, 1.4173696, 1.4731715, 0.3698487, 0.5790433, 0.6800963, 0.95017034, 1.4385623, 0.46066087]","[1.2088801, -0.077555016, 0.25387913, -0.14392444, -1.1281393, 1.7946252, -0.6015515, -0.3190186, -1.9301426]",[],[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
