game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,distance_to_evader,distance_to_pursuers,angle_to_evader,angle_to_pursuers,evader_velocity,pursuers_velocities,distances_to_landmarks,angles_to_landmarks,is_evader_captured
1,1,Pursuers: 1 vs Evaders: 1,1,2244,adversary_0,active,"[0.0, 0.0, 0.08712498843669891, -0.42030975222587585, -0.5837704539299011, -0.17793206870555878, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.4373335540294647, 0.0]",,,,"[0.0, 0.0]","[0.08712498843669891, -0.42030975222587585]",[0.610285],0.0,[0.610285],[0.0],[-2.8457398],"[array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 1 vs Evaders: 1,1,2244,agent_0,evader,"[0.0, 0.0, -0.4966454803943634, -0.5982418060302734, 0.5837704539299011, 0.17793206870555878]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[-0.4966454803943634, -0.5982418060302734]",[0.610285],[0.610285],[0.0],[0.29585278],[0.0],"[array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,2,2244,adversary_0,active,"[-0.30000001192092896, -0.13120006024837494, 0.08712498843669891, -0.42030975222587585, -0.5837704539299011, -0.17793206870555878, -0.20000000298023224, -0.0]","[0.0, 1.0, 0.0, 0.4373335540294647, 0.0]",,,,"[-0.30000001192092896, -0.13120006024837494]","[0.08712498843669891, -0.42030975222587585]",[0.610285],0.0,[0.610285],[0.0],[-2.8457398],"[array([-0.3       , -0.13120006], dtype=float32)]","[array([-0.2, -0. ], dtype=float32)]",[],[],[True]
1,1,Pursuers: 1 vs Evaders: 1,2,2244,agent_0,evader,"[-0.20000000298023224, -0.0, -0.4966454803943634, -0.5982418060302734, 0.5837704539299011, 0.17793206870555878]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.20000000298023224, -0.0]","[-0.4966454803943634, -0.5982418060302734]",[0.610285],[0.610285],[0.0],[0.29585278],[0.0],"[array([-0.3       , -0.13120006], dtype=float32)]","[array([-0.2, -0. ], dtype=float32)]",[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,3,2244,adversary_0,active,"[-0.5249999761581421, -0.22960011661052704, 0.05712498724460602, -0.4334297478199005, -0.5737704634666443, -0.16481207311153412, -0.3499999940395355, -0.0]","[0.0, 1.0, 0.0, 0.414120152592659, 0.0]",,,,"[-0.5249999761581421, -0.22960011661052704]","[0.05712498724460602, -0.4334297478199005]",[0.596972],0.0,[0.596972],[0.0],[-2.8618793],"[array([-0.525     , -0.22960012], dtype=float32)]","[array([-0.35, -0.  ], dtype=float32)]",[],[],[True]
1,1,Pursuers: 1 vs Evaders: 1,3,2244,agent_0,evader,"[-0.3499999940395355, -0.0, -0.5166454911231995, -0.5982418060302734, 0.5737704634666443, 0.16481207311153412]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.3499999940395355, -0.0]","[-0.5166454911231995, -0.5982418060302734]",[0.596972],[0.596972],[0.0],[0.27971324],[0.0],"[array([-0.525     , -0.22960012], dtype=float32)]","[array([-0.35, -0.  ], dtype=float32)]",[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,4,2244,adversary_0,active,"[-0.6937500238418579, -0.2964361310005188, 0.0046249870210886, -0.45638978481292725, -0.5562704801559448, -0.14185205101966858, -0.4625000059604645, -0.0]","[0.0, 1.0, 0.0, 0.37064702063798904, 0.0]",,,,"[-0.6937500238418579, -0.2964361310005188]","[0.0046249870210886, -0.45638978481292725]",[0.5740722],0.0,[0.57407206],[0.0],[-2.8919084],"[array([-0.69375   , -0.29643613], dtype=float32)]","[array([-0.4625, -0.    ], dtype=float32)]",[],[],[True]
1,1,Pursuers: 1 vs Evaders: 1,4,2244,agent_0,evader,"[-0.4625000059604645, -0.0, -0.5516454577445984, -0.5982418060302734, 0.5562704801559448, 0.14185205101966858]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.4625000059604645, -0.0]","[-0.5516454577445984, -0.5982418060302734]",[0.5740722],[0.57407206],[0.0],[0.24968415],[0.0],"[array([-0.69375   , -0.29643613], dtype=float32)]","[array([-0.4625, -0.    ], dtype=float32)]",[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,5,2244,adversary_0,active,"[-0.8203125, -0.3335212171077728, -0.06475001573562622, -0.4860333800315857, -0.5331454277038574, -0.11220844089984894, -0.546875, -0.0]","[0.0, 1.0, 0.0, 0.3089294135570526, 0.0]",,,,"[-0.8203125, -0.3335212171077728]","[-0.06475001573562622, -0.4860333800315857]",[0.5448255],0.0,[0.5448255],[0.0],[-2.9341552],"[array([-0.8203125 , -0.33352122], dtype=float32)]","[array([-0.546875, -0.      ], dtype=float32)]",[],[],[True]
1,1,Pursuers: 1 vs Evaders: 1,5,2244,agent_0,evader,"[-0.546875, -0.0, -0.5978954434394836, -0.5982418060302734, 0.5331454277038574, 0.11220844089984894]","[0.5, 0.5, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.546875, -0.0]","[-0.5978954434394836, -0.5982418060302734]",[0.5448255],[0.5448255],[0.0],[0.20743747],[0.0],"[array([-0.8203125 , -0.33352122], dtype=float32)]","[array([-0.546875, -0.      ], dtype=float32)]",[],[],[]
1,1,Pursuers: 1 vs Evaders: 1,6,2244,adversary_0,active,"[-0.915234386920929, -0.3428197205066681, -0.14678126573562622, -0.5193855166435242, -0.5058016777038574, -0.07885632663965225, -0.610156238079071, -0.0]","[0.0, 1.0, 0.0, 0.23106396943330765, 0.0]",,,,"[-0.915234386920929, -0.3428197205066681]","[-0.14678126573562622, -0.5193855166435242]",[0.51191175],0.0,[0.51191175],[0.0],[-2.9869342],"[array([-0.9152344 , -0.34281972], dtype=float32)]","[array([-0.61015624, -0.        ], dtype=float32)]",[],[],[True]
