game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,angles_to_pursuers,angles_to_evaders,velocities_of_evaders,velocities_of_pursuers,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,distances_to_evaders,distances_to_pursuers,value_function,interception_point,is_evader_capture
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_0,2788,"[0.0, 0.0, 0.5698664784431458, 0.35312846302986145, -0.04679016023874283, 0.1908247470855713, 0.0327010452747345, -0.11349492520093918, -1.0684566497802734, -0.7338169813156128, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -0.8492061247295843, 0.0, 0.0]",,,,[0. 0.],[0.5698665  0.35312846],"[0.0, 1.8112521]","[-1.290267, -2.5397801]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.19647749, 0.11811205]","[1.8112521, -1.2902665]",[0. 0. 0. 0.],"[0.11811205, 1.2961817]","[0.0, 0.19647746]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
1,1,Pursuers: 2 vs Evaders: 2,1,adversary_1,2788,"[0.0, 0.0, 0.5230762958526611, 0.5439531803131104, 0.04679016023874283, -0.1908247470855713, 0.07949120551347733, -0.30431967973709106, -1.0216665267944336, -0.9246417284011841, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[0.5230763 0.5439532],"[-1.3303406, 0.0]","[-1.3152957, -2.406004]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.19647749, 0.3145303]","[-1.3303406, -1.3152957]",[0. 0. 0. 0.],"[0.31453028, 1.3779567]","[0.19647746, 0.0]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
1,1,Pursuers: 2 vs Evaders: 2,1,agent_0,2788,"[0.0, 0.0, 0.6025674939155579, 0.23963353037834167, -0.0327010452747345, 0.11349492520093918, -0.07949120551347733, 0.30431967973709106, -1.101157784461975, -0.620322048664093, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[0.6025675  0.23963353],"[1.8513256, 1.826297]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.11811205, 0.3145303]","[1.8513261, 1.826297]",[0. 0.],[],"[0.11811205, 0.31453028]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,[]
1,1,Pursuers: 2 vs Evaders: 2,1,agent_1,2788,"[0.0, 0.0, -0.49859023094177246, -0.38068851828575134, 1.0684566497802734, 0.7338169813156128, 1.0216665267944336, 0.9246417284011841, 1.101157784461975, 0.620322048664093, 0.0, 0.0]","[0.0, -1.0, -1.0, 0.0, 0.0]",0.0,False,False,[0. 0.],[-0.49859023 -0.38068852],"[0.6018125, 0.7355887]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.2961817, 1.3779567]","[0.6018125, 0.7355887]",[0. 0.],[],"[1.2961817, 1.3779567]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",[nan nan],[]
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_0,2788,"[-0.0190731231123209, 0.0661967396736145, 0.5698664784431458, 0.35312846302986145, -0.04679016023874283, 0.1908247470855713, 0.0327010452747345, -0.11349492520093918, -1.0684566497802734, -0.7338169813156128, 0.0190731231123209, -0.0661967396736145, 0.0, 0.0]","[0.0, -1.0, -0.8492061247295843, 0.0, 0.0]",,,,[-0.01907312  0.06619674],[0.5698665  0.35312846],"[0.0, 1.8112521]","[-1.290267, -2.5397801]","[array([ 0.01907312, -0.06619674], dtype=float32), array([0., 0.], dtype=float32)]","[array([-0.01907312,  0.06619674], dtype=float32), array([-1.5556981e-23,  6.3446177e-23], dtype=float32)]","[0.19647749, 0.11811205]","[1.8112521, -1.2902665]",[ 0.01907312 -0.06619674  0.          0.        ],"[0.11811205, 1.2961817]","[0.0, 0.19647746]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
1,1,Pursuers: 2 vs Evaders: 2,2,adversary_1,2788,"[-1.5556980761457013e-23, 6.344617671897897e-23, 0.5230762958526611, 0.5439531803131104, 0.04679016023874283, -0.1908247470855713, 0.07949120551347733, -0.30431967973709106, -1.0216665267944336, -0.9246417284011841, 0.0190731231123209, -0.0661967396736145, 0.0, 0.0]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[-1.5556981e-23  6.3446177e-23],[0.5230763 0.5439532],"[-1.3303406, 0.0]","[-1.3152957, -2.406004]","[array([ 0.01907312, -0.06619674], dtype=float32), array([0., 0.], dtype=float32)]","[array([-0.01907312,  0.06619674], dtype=float32), array([-1.5556981e-23,  6.3446177e-23], dtype=float32)]","[0.19647749, 0.3145303]","[-1.3303406, -1.3152957]",[ 0.01907312 -0.06619674  0.          0.        ],"[0.31453028, 1.3779567]","[0.19647746, 0.0]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
1,1,Pursuers: 2 vs Evaders: 2,2,agent_0,2788,"[0.0190731231123209, -0.0661967396736145, 0.6025674939155579, 0.23963353037834167, -0.0327010452747345, 0.11349492520093918, -0.07949120551347733, 0.30431967973709106, -1.101157784461975, -0.620322048664093, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[ 0.01907312 -0.06619674],[0.6025675  0.23963353],"[1.8513256, 1.826297]",[],[],"[array([-0.01907312,  0.06619674], dtype=float32), array([-1.5556981e-23,  6.3446177e-23], dtype=float32)]","[0.11811205, 0.3145303]","[1.8513261, 1.826297]",[0. 0.],[],"[0.11811205, 0.31453028]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,[]
1,1,Pursuers: 2 vs Evaders: 2,2,agent_1,2788,"[0.0, 0.0, -0.49859023094177246, -0.38068851828575134, 1.0684566497802734, 0.7338169813156128, 1.0216665267944336, 0.9246417284011841, 1.101157784461975, 0.620322048664093, 0.0190731231123209, -0.0661967396736145]","[0.0, -1.0, -1.0, 0.0, 0.0]",0.0,False,False,[0. 0.],[-0.49859023 -0.38068852],"[0.6018125, 0.7355887]",[],[],"[array([-0.01907312,  0.06619674], dtype=float32), array([-1.5556981e-23,  6.3446177e-23], dtype=float32)]","[1.2961817, 1.3779567]","[0.6018125, 0.7355887]",[ 0.01907312 -0.06619674],[],"[1.2961817, 1.3779567]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",[nan nan],[]
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_0,2788,"[-0.03337796404957771, 0.11584429442882538, 0.567959189414978, 0.35974812507629395, -0.04488284885883331, 0.1842050701379776, 0.036515671759843826, -0.12673427164554596, -1.0665494203567505, -0.7404366135597229, 0.03337796404957771, -0.11584429442882538, 0.0, 0.0]","[0.0, -1.0, -0.8554201483025871, 0.0, 0.0]",,,,[-0.03337796  0.11584429],[0.5679592  0.35974813],"[0.0, 1.8097965]","[-1.2902669, -2.534746]","[array([ 0.03337796, -0.11584429], dtype=float32), array([0., 0.], dtype=float32)]","[array([-0.03337796,  0.11584429], dtype=float32), array([-2.7224716e-23,  1.1103081e-22], dtype=float32)]","[0.18959424, 0.13189]","[1.8097962, -1.2902669]",[ 0.03337796 -0.11584429  0.          0.        ],"[0.13188998, 1.2983736]","[0.0, 0.18959424]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
1,1,Pursuers: 2 vs Evaders: 2,3,adversary_1,2788,"[-2.7224716332549773e-23, 1.110308092582132e-22, 0.5230762958526611, 0.5439531803131104, 0.04488284885883331, -0.1842050701379776, 0.08139851689338684, -0.31093934178352356, -1.0216665267944336, -0.9246417284011841, 0.03337796404957771, -0.11584429442882538, 0.0, 0.0]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[-2.7224716e-23  1.1103081e-22],[0.5230763 0.5439532],"[-1.3317962, 0.0]","[-1.3147591, -2.406004]","[array([ 0.03337796, -0.11584429], dtype=float32), array([0., 0.], dtype=float32)]","[array([-0.03337796,  0.11584429], dtype=float32), array([-2.7224716e-23,  1.1103081e-22], dtype=float32)]","[0.18959424, 0.32141715]","[-1.3317965, -1.3147594]",[ 0.03337796 -0.11584429  0.          0.        ],"[0.32141715, 1.3779567]","[0.18959424, 0.0]","{(0.5698664784431458, 0.35312846302986145, 0.0): 0.0, (0.5230762958526611, 0.5439531803131104, 0.0): 0.0, (0.6025674939155579, 0.23963353037834167, 0.0): 0.0, (-0.49859023094177246, -0.38068851828575134, 0.0): 0.0}",,"[False, False]"
